username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
mr_tthompson,5/30/2013,2,0,"RT CPS principal's resignation letter I have been unable to protect our students from excessive testing"" http://iamschicago.com/sites/iamschicago.com/files/ResignationfromInter-American.doc.pdf … #optout""",,,#optout,3.40E+17,https://twitter.com/mr_tthompson/status/340255450568204288,,
RaquelRiosPhD,5/30/2013,0,0,"Another heartfelt resignation now from #school principal I have been unable to protect our students"" http://iamschicago.com/sites/iamschicago.com/files/ResignationfromInter-American.doc.pdf … #optout”""",,,#school #optout,3.40E+17,https://twitter.com/RaquelRiosPhD/status/340252390735351808,,
SerengetiPaws,5/30/2013,1,1,Good to see the commissioner of education in #attleboro 2 discuss #PARCC. Thx to rep @PaulHeroux #attleboro #maploipic.twitter.com/XZL0GXVNhH,,@PaulHeroux,#attleboro #PARCC #attleboro #maploipic,3.40E+17,https://twitter.com/SerengetiPaws/status/340249564466520065,,
NamNix,5/30/2013,0,0,@nlasmus THE STATES TOOK THE GOV.MONEY & SCREWED OUR KIDS & THEY CANNOT OPT OUTSICK ISN'T IT THEY TOOK BRIBE & KIDS PAYCOMMON CORE SUCKS,,@nlasmus,,3.40E+17,https://twitter.com/NamNix/status/340249341652525056,,
NancyLClay,5/30/2013,6,1,There’s No Opting Out of Common Core http://www.theblaze.com/contributions/theres-no-opting-out-of-common-core/?utm_source=twitter&utm_medium=story&utm_campaign=Share%20Buttons … #StopCommonCore #LNYHBT,,,#StopCommonCore #LNYHBT,3.40E+17,https://twitter.com/NancyLClay/status/340245434549280769,,
MTAS_Chicago,5/30/2013,8,1,"CPS principal's resignation letter I have been unable to protect our students from excessive testing"" http://iamschicago.com/sites/iamschicago.com/files/ResignationfromInter-American.doc.pdf … #optout""",,,#optout,3.40E+17,https://twitter.com/MTAS_Chicago/status/340237506282913793,,
bowenkerins,5/30/2013,0,1,I'll have more to say about the #SBAC pilot exam tonight but it isn't going to be pretty...,,,#SBAC,3.40E+17,https://twitter.com/bowenkerins/status/340222745445015552,,
bowenkerins,5/30/2013,0,0,Flipping through the #SBAC pilot exam. Here's the answer as it appeared when I tried to solve Q4. Trouble's coming. pic.twitter.com/oegHmy5iWC,,,#SBAC,3.40E+17,https://twitter.com/bowenkerins/status/340222409976205313,,
MOEducation,5/30/2013,5,1,Practice Tests Provide Preview of New Statewide Student Assessments http://dese.mo.gov/news/2013/Practice_Tests_Preview.htm#.Uae8-_M4Dn8.twitter … #ccss #sbac,,,# #ccss #sbac,3.40E+17,https://twitter.com/MOEducation/status/340210178806906880,,
Core2Class,5/30/2013,0,0,Common-Core Online Practice Tests Unveiled #SBAC #ccss http://sco.lt/6Mhq1h,,,#SBAC #ccss,3.40E+17,https://twitter.com/Core2Class/status/340199777956413440,,
whyihomeschool,5/30/2013,0,0,There’s No Opting Out of Common Core | http://TheBlaze.com  - http://www.whyihomeschool.com/theres-no-opting-out-of-common-core-theblaze-com …,,,,3.40E+17,https://twitter.com/whyihomeschool/status/340187423319420930,,
AAnsley_31,5/30/2013,0,0,@GreyHoke @WT_Robinson just do good on the placement test and opt out.,,@GreyHoke @WT_Robinson,,3.40E+17,https://twitter.com/AAnsley_31/status/340182671714054144,,
lauratremaine,5/30/2013,0,0,Wait. I pinned something on #Pinterest and it automatically tweeted it. Lord Have Mercy how do I change that setting? #notcool #optout,,,#Pinterest #notcool #optout,3.40E+17,https://twitter.com/lauratremaine/status/340181175299620864,,
