username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
optoutftl,9/29/2015,0,0,@ CorporetteMoms @ FreeRangeKids Fight back against testing madness https://www.washingtonpost.com/blogs/answer-sheet/wp/2015/09/28/her-son-began-hating-school-what-happened-when-she-found-out-why/Œæäó_ # optout # fsa # ccss # commoncore,,@ @,# # # #,6.49E+17,https://twitter.com/optoutftl/status/649008131826143233
optoutftl,9/29/2015,3,1,@ BadassTeachersA @ live4literacy @Jupiter_Agent fight back against testing madness https://www.washingtonpost.com/blogs/answer-sheet/wp/2015/09/28/her-son-began-hating-school-what-happened-when-she-found-out-why/Œæäó_ # optout # fsa # ccss # commoncore,,@ @ @Jupiter_Agent,# # # #,6.49E+17,https://twitter.com/optoutftl/status/649008026842734592
optoutftl,9/29/2015,0,0,@ ACLUFL @ FLGOPMajority @ VoteYourJob https://www.washingtonpost.com/blogs/answer-sheet/wp/2015/09/28/her-son-began-hating-school-what-happened-when-she-found-out-why/Œæäó_ # optout # fsa # ccss # commoncore,,@ @ @,# # # #,6.49E+17,https://twitter.com/optoutftl/status/649007933083250688
cultcommoncore,9/28/2015,1,1,@ CarlyFiorinaäó»s # CommonCore Problem http://thepulse2016.com/brad-mcqueen/2015/09/28/carly-fiorinas-common-core-problem/Œæäó_ via @ ThePulse2016 # stopcommoncore # optout # tcot # CommonCore,,@ @,# # # # #,6.49E+17,https://twitter.com/cultcommoncore/status/648703171682893824
OOPinellas,9/28/2015,0,0,# OptOut of narrowed curriculum,,,,,
CeaseCommonCore,9/28/2015,0,0,. @ cuomowatch . @ nybats FUNDAMENTALLY FLAWED Westchester Principal Named To State-Wide # CommonCore Task Force http://yonkers.dailyvoice.com/schools/westchester-principal-named-to-state-wide-common-core-task-force/592136/#.Vgng8cSQAa0.twitterŒæäó_ # optout,,@ @,# # #,6.49E+17,https://twitter.com/CeaseCommonCore/status/648662764517478408
tfarley1969,9/28/2015,2,1,Andrew Cuomo names members to panel to review # CommonCore. # OptOut right @ BEastonNY? @ AQE_NY @ nysut @ AndyPallotta http://ln.is/www.newsday.com/news/WLsRZŒæäó_,,@ @ @ @,# #,6.49E+17,https://twitter.com/tfarley1969/status/648660768607600640
MarcExec,9/28/2015,0,0,@ NYGovCuomo,,,,,
BethanyBlankley,9/28/2015,0,0,Parents: You CAN # OptOut of # CommonCore Sign the form: http://ln.is/constitution.com/V1EgjŒæäó_ # TCOT # PJNET # CCOT # 14A # parentalrights # datamining,,,# # # # # # # #,6.49E+17,https://twitter.com/BethanyBlankley/status/648500493782810624
Stand4KidsNM,9/28/2015,1,0,We are using our kids as guinea pigs. # optout! äóì @ krwg: Skandera:Expect Lower Test Scores In New Mexico http://krwg.org/post/skandera-expect-lower-test-scores-new-mexicoŒæäó_äóù # ABQ # APS NM,,@,# # #,6.48E+17,https://twitter.com/Stand4KidsNM/status/648464778541662209
tfarley1969,9/27/2015,0,0,@ BWilliams is back! # CommonCore # OptOut pic.twitter.com/7hu31LswxW,,@,# #,6.48E+17,https://twitter.com/tfarley1969/status/648208117898047488
tfarley1969,9/27/2015,7,1,The Power of Opt Out to Preserve Public Education. # CommonCore # OptOut @ nysape @ nysut @ lioptout http://ln.is/org/8eTyg,,@ @ @,# #,6.48E+17,https://twitter.com/tfarley1969/status/648196246763606022
OptOutLouisiana,9/27/2015,1,2,Results of a secret,,,,,
K12NN,9/26/2015,1,0,Peggy Robertson,,,,,
