,text,text-corrected,id.x,inTrain,username,date,retweets,favorites,geo,mentions,hashtags,id.y,permalink,X
1,_ÔøΩÔøΩ @RaymondWWalter: @CanibeYOUNG @Stoptesting15 That's why we all need to #OptOut_—ù I would be one of the first if my own kids were that age!,@CanibeYOUNG @Stoptesting15 That's why we all need to #OptOut,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,_ÔøΩÔøΩ@berwynwellness: Ss choose to do extra math on #sumdog when given a break after #PARCC same in CT after SBACs pic.twitter.com/o0DrYDdDJ8_—ù,“@berwynwellness: Ss choose to do extra math on #sumdog when given a break after #PARCC same in CT after SBACs pic.twitter.com/o0DrYDdDJ8”,124,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,_ÔøΩÔøΩ@PrivacyRightsIL: Reason number 3487 to #homeschool. pic.twitter.com/LkIHkbfQGF_—ù #edchat #parcc #CommonCore #tyranny #craycray @DianeRavitch,“@PrivacyRightsIL: Reason number 3487 to #homeschool. pic.twitter.com/LkIHkbfQGF” #edchat #parcc #CommonCore #tyranny #craycray @DianeRavitch,100040,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,_ÔøΩÔøΩEverything that can be counted does not necessarily count; everything that counts cannot necessarily be counted_—ùEinstein #PARCC #WhyIRefuse,“Everything that can be counted does not necessarily count; everything that counts cannot necessarily be counted”Einstein #PARCC #WhyIRefuse,100142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,_ÔøΩÔøΩWe respectfully refuse to participate in the test._—ù http://buff.ly/1OSJ08lÔøΩ_ Close to that time of year! #optout pic.twitter.com/dqH3wYrSZp,“We respectfully refuse to participate in the test.” http://buff.ly/1a0pQgv  Close to that time of year! #optout pic.twitter.com/x6EYVheRiB,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,". @AngelaWozniak raises good questions on floor of Assembly If all of a teachers' students #optout what will their APPR reflect?"" @nysut""",,99,1,CNYTeacher,3/31/15,28,14,,@AngelaWozniak @nysut,#optout,5.83E+17,https://twitter.com/CNYTeacher/status/583056516753825792,
7,. @assemblynewyork Sen. Flanagan is WRONG. This leg. double-downs on #HighStakesTests We will #RefuseTheTest This is a disgraceful budget.,,103,1,NellyACF,3/31/15,0,2,,@assemblynewyork,#HighStakesTests #RefuseTheTest,5.83E+17,https://twitter.com/NellyACF/status/583052881869279235,
8,. @examinercom Think standardized tests are meaningful? When was the last time you asked your physician for his SAT scores? #optout,,100159,1,GetCollege,3/17/15,1,0,,@examinercom,#optout,5.78E+17,https://twitter.com/GetCollege/status/577863740101644288,
9,. @lisarudley says the tests are flawed and therefore they provide flawed feedback to parents teachers districts and NYS #optout,,100062,1,MahopacTA,3/24/15,11,3,,@lisarudley,#optout,5.80E+17,https://twitter.com/MahopacTA/status/580402924712550401,
10,. @NTampio @DataDiva #NCLB law reqs use of demonstrably reliable & valid tests. Such data=notably absent 4 #PARCC so doesn't meet legal reqs.,,100148,1,AssessWell,3/17/15,0,1,,@NTampio @DataDiva,#NCLB #PARCC,5.78E+17,https://twitter.com/AssessWell/status/577885495679709185,
