,text,text-corrected,id.x,inTrain,username,date,retweets,favorites,geo,mentions,hashtags,id.y,permalink,X
179,Students doing a great job here maintaining respectful testing environment w/high opt out numbers. #PARCC,,8177,1,xianb8,3/17/15,1,2,,,#PARCC,5.78E+17,https://twitter.com/xianb8/status/577869636147945472,
204,Tomorrow is the first day of ELA #PARCC for the #jmswoburn 7th grade students. Get a good night sleep and a big breakfast! #youcandoit!,,3253,1,WryeWMS,3/24/15,1,4,,,#PARCC #jmswoburn #youcandoit,5.80E+17,https://twitter.com/WryeWMS/status/580498503463473152,
147,Owlstars remember tomorrow at 8am is our 1st ever PARCC test! Please be on time so we can start immediately and rock the #PARCC,,8603,1,WiseWolter,3/16/15,0,0,,,#PARCC,5.78E+17,https://twitter.com/WiseWolter/status/577689765249679360,
59,Alright boys and girls let's #PARCC,,4240,1,whatchasay_MrJ,3/22/15,0,1,,,#PARCC,5.80E+17,https://twitter.com/whatchasay_MrJ/status/579817619852644353,
213,Wed and Thurs are dress down days for students who have the Gold #PARCC Pride Points for both Reading and Math #pbis,,50000,1,WalkerMillMS,3/31/15,1,0,,,#PARCC #pbis,5.83E+17,https://twitter.com/WalkerMillMS/status/583041529687707648,
104,Great start to #PARCC testing @casejrhigh - keep up the good work #teamwork #winners,,8536,1,vie_lisa,3/17/15,0,2,,@casejrhigh,#PARCC #teamwork #winners,5.78E+17,https://twitter.com/vie_lisa/status/577784769611706368,
78,"Cuz the #PARCC test ain't got nothin on us"" - @RoxburyPrepRPC #uncommonschools can't get the song out of my head #joyfactor""",,50008,1,titcBARROSiana,3/30/15,0,0,,@RoxburyPrepRPC,#PARCC #uncommonschools #joyfactor,5.83E+17,https://twitter.com/titcBARROSiana/status/582680384011431936,
4,@beansouptimes: Have your followers submit questions on #testing policy & #OptOut to our panel of teachers & policy makers w/ #TestingSeason,,302,1,theschoolpr,3/31/15,0,0,,@beansouptimes,#testing #OptOut #TestingSeason,5.83E+17,https://twitter.com/theschoolpr/status/582958137482866688,
24,@UrbanEdMOOC Our #TestingSeason panel tonight includes teachers & policy makers do you have any questions about #OptOut & #testing policy?,,295,1,theschoolpr,3/31/15,1,0,,@UrbanEdMOOC,#TestingSeason #OptOut #testing,5.83E+17,https://twitter.com/theschoolpr/status/582960694720598016,
81,Did your kids take #PARCC this week? Here's a video explaining why some educators think the test is a valuable tool: http://ow.ly/KBA6g,,4332,1,theschoolpr,3/22/15,0,0,,,#PARCC,5.80E+17,https://twitter.com/theschoolpr/status/579739384930541568,
